Date	Product	Category	Region	Sales	Quantity	Discount	Profit
2023-06-07	USB Hub	Peripherals	Surabaya	4026439	19	0.25	769020
2023-06-08	Webcam	Peripherals	Makassar	2284443	6	0.3	167517
2023-06-09	Keyboard	Accessories	Medan	3299390	1	0.16	369266
2023-06-10	Laptop	Electronics	Jakarta	4380637	15	0.05	1040725
2023-06-11	Headset	Accessories	Makassar	4772843	1	0.08	160390
2023-06-12	Mouse	Electronics	Makassar	1161831	17	0.01	1284250
2023-06-13	USB Hub	Peripherals	Jakarta	4669644	1	0.27	767962
2023-06-14	USB Hub	Electronics	Medan	2714523	15	0.04	746851
2023-06-15	Webcam	Electronics	Bandung	1662100	2	0.17	908991
2023-06-16	USB Hub	Electronics	Makassar	2566111	14	0.08	1245787
2023-06-17	Keyboard	Peripherals	Jakarta	4910147	8	0.17	554323
2023-06-18	Laptop	Peripherals	Surabaya	2716781	8	0.2	1033123
2023-06-19	USB Hub	Electronics	Jakarta	1979382	19	0.25	870311
2023-06-20	USB Hub	Electronics		3350304	7	0.06	437191
2023-06-21	Mouse	Accessories	Medan	1580655	19	0.0	1324013
2023-06-22	Mouse	Electronics	Bandung	841385	6	0.04	1206268
2023-06-23	Monitor	Accessories	Jakarta	1079959	6	0.27	1004755
2023-06-24	Headset	Electronics	Makassar	1076206	3	0.26	1283344
2023-06-25	Keyboard	Accessories	Medan	1183562	7	0.18	1307577
2023-06-26	USB Hub	Peripherals	Jakarta	1124722	19	0.18	1077126
2023-06-27	USB Hub	Electronics	Makassar	3383936	8	0.2	1263669
2023-06-28	Laptop	Electronics	Jakarta	1318460	10	0.05	1061334
2023-06-29	Monitor	Electronics	Surabaya	2055503	15	0.27	1036204
2023-06-30	Headset	Electronics	Jakarta	4535548	15	0.13	946986
2023-07-01	Monitor	Accessories	Jakarta	2632827	1	0.11	1141439
2023-07-02	Webcam	Electronics	Jakarta	3504010	7	0.16	279977
2023-07-03	Headset	Peripherals	Medan	1275439	4	0.01	1327263
2023-07-04	USB Hub	Peripherals	Jakarta	1365301	6	0.05	1314173
2023-07-05	USB Hub	Electronics	Makassar	683909	1	0.22	92409
2023-07-06	Headset	Peripherals	Surabaya	1260208	5	0.02	1247434
2023-07-07	USB Hub	Electronics	Surabaya	1753657	1	0.18	236861
2023-07-08	Keyboard	Electronics	Jakarta	1296547	4	0.07	535922
2023-07-09	Headset	Peripherals	Medan	899161	2	0.12	1128087
2023-07-10	Monitor	Electronics	Medan	1042861	10	0.09	283102
2023-07-11	Headset	Peripherals	Makassar	2573504	5	0.11	1236052
2023-07-12	USB Hub	Accessories	Jakarta	1428502	10	0.22	1256595
2023-07-13	Keyboard	Electronics	Surabaya	2139214	1	0.09	785828
2023-07-14	Keyboard	Accessories	Medan	2765378	6	0.17	59260
2023-07-15	Webcam	Peripherals	Jakarta	3606777	13	0.14	466205
2023-07-16	Monitor	Accessories	Medan	676905	15	0.2	944544
2023-07-17	Mouse	Accessories	Medan	4097347	4	0.28	1472720
2023-07-18	Mouse	Peripherals	Surabaya	3325552	13	0.22	966130
2023-07-19	Headset	Accessories	Bandung	867916	15	0.06	426715
